date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-06-27,2026-06-28,Fiesta in Florissant,festival,Knights of Columbus Park,50 St. Francois Street,Florissant,St. Louis,MO,"General community; all ages including seniors; 30th anniversary event",implied,"Information booths from cultural organizations and businesses; contact Hispanic Festival Inc. for booth availability","unknown",Hispanic Festival Inc.,info@hispanicfestivalstl.com,(314) 837-6100,https://www.hispanicfestivalstl.com/event-details/fiesta-in-florissant-2026-06-27-10-00,https://www.hispanicfestivalstl.com/event-details/fiesta-in-florissant-2026-06-27-10-00,2026-06-28,"Sat June 27 10am–10pm; Sun June 28 11am–9pm. Free admission. Live Latino bands, folkloric dancers, food, arts/craft vendors, information booths."
2026-07-03,2026-07-04,Celebrate 250 – America's 250th Birthday Celebration at the Gateway Arch,festival,Gateway Arch National Park / Downtown St. Louis,11 N 4th St,St. Louis,St. Louis City,MO,"General public including seniors; large national celebration",yes,"Vendor and concession signup at celebratesaintlouis.org/vendor-signup; Innovation Village and vendor marketplace","unknown",,,,https://www.celebratesaintlouis.org/vendor-signup,https://www.celebratesaintlouis.org/,2026-06-28,"2-day national celebration of America's 250th birthday. High foot traffic; broad senior attendance at large public events."
2026-07-09,2026-07-11,Ste. Genevieve County Fair,fair,Ste. Genevieve County Fairgrounds,22079 White Sands Rd,Ste. Genevieve,Ste. Genevieve,MO,"General public; families; agriculture community; broad multi-generational county-wide draw",yes,"Dedicated vendors page at stegenevievecountyfair.com/vendors; sponsor form at /sponsor-form. Vendor fee approx. $250 (2-day) / $150 (1-day) per reports.","~$250 (2-day) / ~$150 (1-day)",,contact@stegenevievecountyfair.com,,https://www.stegenevievecountyfair.com/vendors,https://www.stegenevievecountyfair.com/,2026-06-28,"2nd weekend of July. Thu 4pm–10pm; Fri–Sat 10am–midnight. Parade Fri July 11. Demo derby; truck/tractor pull; 4-H/FFA; midway; live music."
2026-07-14,2026-07-18,Lincoln County Fair 2026,fair,Lincoln County Fairgrounds,1 Fairgrounds Rd,Troy,Lincoln,MO,"General public; families; 4-H/FFA; all ages including seniors in rural county",yes,"Commercial exhibitor spaces available (~15x20 ft). Applications at lincolncountyfair.net/sponsors.aspx or contact fair board.","~$750–$1,000 per 15x20 space (prior years; confirm 2026)","Lincoln County Fair Board (Matt Arnold)",lincolncountymofair@gmail.com,636-528-2402,https://www.lincolncountyfair.net/,https://cofairs.com/missouri/lincoln-county-fair,2026-06-28,"65th anniversary fair. One-price admission; FREE carnival rides/concerts/motorsports included. Demo derby; horse shows; truck/tractor pull. Parade approx. July 12."
2026-07-20,2026-07-25,Montgomery County Fair 2026 — Senior Citizens Day,fair,Montgomery County Fairgrounds,700 South Sturgeon Street,Montgomery City,Montgomery,MO,"General public and seniors; Senior Citizens Day Wednesday July 22 with $5.00 senior admission until noon",implied,"Commercial exhibitor deadline was Dec 8 2025; contact fair directly for late/2026 sponsorship. Non-retail orgs must use Sponsorship Program.","Contact for details",,montgomerycofair@gmail.com,573-574-3249,https://www.montgomerycountyfair.org/,https://cofairs.com/missouri/montgomery-county-fair,2026-06-28,"6-day fair; theme 'Stars, Stripes & Summer Nights.' Senior Citizens Day is Wed July 22 ($5 admission until noon). Rodeo; truck/tractor pull; demolition derby."
2026-07-20,2026-07-25,Perry County Fair,fair,Perry County Fairgrounds,,Perryville,Perry,MO,"General public including seniors and older adults; traditional county fair draws all ages",implied,"County fair routinely features commercial exhibitor/vendor spaces; contact fair board for 2026 booth availability","unknown",,,,https://www.facebook.com/perrycountyfair/,https://www.facebook.com/perrycountyfair/posts/perry-fair-dates-for-the-2026-season-have-been-submitted-for-the-week-of-july-20/1433031295491252/,2026-06-28,"Dates confirmed via official Perry County Fair MO Facebook post for week of July 20. Contact Perry County Fair Association via Facebook for commercial vendor info."
2026-07-22,,West Side Senior Expo,expo,Northwest R-I High School,6005 Cedar Hill Rd,Cedar Hill,Jefferson,MO,"Adults 50+; seniors; caregivers",yes,"30+ vendor booths available; businesses with products/services for 50+ encouraged to reserve. Call 636-931-7560 or email news@leaderpublications.biz.","Contact organizer",Leader Publications,news@leaderpublications.biz,636-931-7560,https://www.myleaderpaper.com/leader_events/west_side_senior_expo/,https://www.myleaderpaper.com/seniorexpo/,2026-06-28,"Annual Leader Publications Senior Expo series. Runs 8am–noon. Free admission for 50+. Features bingo; live music; speakers; prizes; free doughnuts/coffee."
2026-07-28,2026-08-01,St. Charles County Fair,fair,Wentzville Rotary Park / St. Charles County Fairgrounds,2577 W Meyer Rd,Wentzville,St. Charles,MO,"General public; families; agricultural community; broad cross-section including seniors",implied,"Vendor/exhibitor application at stcharlescofair.org; specific booth sizes and costs not publicly listed — contact fair directly","unknown",,,,https://www.stcharlescofair.org/,https://www.stcharlescofair.org/,2026-06-28,"Annual 5-day county fair 4th week of July. Carnival rides; live entertainment; rodeo; demo derby; livestock; food vendors. Also listed at Foristell MO 63348."
2026-07-30,2026-08-01,152nd Annual St. Francois County Fair,fair,St. Francois County Fairgrounds,1450 Woodlawn Dr,Farmington,St. Francois,MO,"General community including seniors; county fair draws all ages with strong rural/older adult attendance",implied,"Commercial exhibitor/vendor booths available; FairEntry.com registration; contact sfcfairgrounds.org for commercial booth application","unknown",,,,https://fairentry.com/Public/EnterFair/24037,https://cofairs.com/missouri/st-francois-county-fair,2026-06-28,"3-day fair; Craig Morgan concert Sat Aug 1 at 7pm. Fair established 1874. Also P.O. Box 25 Bismarck MO 63624."
2026-07-31,2026-08-02,First State Community Bank Senior Games,senior day,Perry Park Center,800 City Park Dr,Perryville,Perry,MO,"Adults 50+; Olympic-style multi-sport competition specifically for seniors",implied,"Event has corporate sponsors; Perry Park Center partners with SilverSneakers and Renew Active (Medicare fitness programs); contact organizer about vendor/sponsor table","unknown",Cindy Huck,cindyhuck@perryvillemo.gov,573-547-7275,https://cityofperryville.com/DocumentCenter/View/9599/Registration-Form-2026-Senior-Games?bidId=,https://cityofperryville.com/DocumentCenter/View/9599/Registration-Form-2026-Senior-Games?bidId=,2026-06-28,"23rd Annual. Registration deadline July 17 ($30 by June 17 / $40 by July 17). Sports: basketball; pickleball; swimming; table tennis; track; bowling; golf; shuffleboard. Includes bingo; dinner and dance. Official SilverSneakers/Renew Active partner site."
2026-07-31,2026-08-02,St. Vincent Seminary Picnic,festival,Seminary Picnic Grounds,1816 W St. Joseph Street,Perryville,Perry,MO,"General public; longstanding Catholic parish community event with strong senior and family attendance",implied,"Annual craft fair with vendor booths; apply at seminarypicnic.org/craft-fair; 2026 vendor application details not yet posted","unknown",,,,https://seminarypicnic.org/craft-fair,https://seminarypicnic.org/,2026-06-28,"Held first weekend of August. Carnival; live music; craft vendors; fair food. Parish events draw many older parishioners. Note: overlaps with Senior Games at Perry Park Center."
2026-08-05,2026-08-09,Washington Town & Country Fair,fair,Washington Town & Country Fair Grounds,,Washington,Franklin,MO,"General public; families; seniors (60+ receive discounted admission at gate)",yes,"Dedicated Merchants/Commercial Exhibitors program; all vendors staff booth all 5 days; $100 security deposit upon approval; apply at washmofair.com/merchants/","$100 deposit; full fee unknown",,office@washmofair.com,636-239-2715,https://washmofair.com/merchants/,https://washmofair.com/,2026-06-28,"5-day fair Wed Aug 5–Sun Aug 9. Senior (60+)/Military/Veteran discount at gate. Vendors must commit all 5 days."
2026-08-05,2026-08-08,78th Annual Washington County Fair,fair,"Washington County Fairgrounds (Potosi Lions Club Park)","10075 Bust Subdivision Rd (also 10367 State Hwy 185)",Potosi,Washington,MO,"General public; families; community; county fair draws broad age range including seniors",implied,"Vendor/booth applications via 2026 Vendor Manual; online application with products listed and booth photos required; contact washcomofair@gmail.com","unknown",Randy Fryman,washcomofair@gmail.com,(573) 436-8051,https://www.washingtoncountyfair-mo.com/,https://www.facebook.com/washcomofair/,2026-06-28,"77th annual was 2025 (Aug 6–9); 2026 est. Aug 5–8. Operated by Potosi Lions Club. Annual community fair: entertainment; livestock; food/commercial vendors."
2026-08-08,2026-08-09,Jour de Fete Arts & Crafts Festival,festival,Historic District Downtown Ste. Genevieve,66 S Main St,Ste. Genevieve,Ste. Genevieve,MO,"General public; southeast Missouri's largest outdoor crafts fair; 40+ year tradition with significant senior attendance",yes,"200+ vendor booths. Categories include corporate/information — directly relevant for broker tabling. Apply at saintegenevievejourdefete.com/for-vendors/","Not listed; contact organizers",,,,http://www.saintegenevievejourdefete.com/for-vendors/,http://www.saintegenevievejourdefete.com/,2026-06-28,"Sat Aug 8 10am–6pm; Sun Aug 9 9am–4pm. P.O. Box 132 Ste. Genevieve MO 63670. 200+ crafts; 25 food booths; antiques; corporate/info category available."
2026-08-14,2026-08-16,Montgomery County Old Threshers Annual Show (49th Annual),festival,Montgomery County Fairgrounds,700 South Sturgeon Street,Montgomery City,Montgomery,MO,"General public including seniors; antique/heritage events skew older adult audience; flea market and arts & crafts component",implied,"Flea market and arts & crafts vendor spaces; first-come basis; contact organizer for large display/working demo requirements; camper reservations by July 15","Contact organizer",,,,http://www.montgomerycountyoldthreshers.org/?page_id=18,http://www.montgomerycountyoldthreshers.org/,2026-06-28,"3rd full weekend of August (Fri–Sun). Antique farm machinery; flea market; arts/crafts; antique cars/trucks; Dutch-oven cooking; music; fiddle contest. Ph: 573-999-5741"
2026-08-17,2026-08-23,Jefferson County Fair,fair,Jefferson County Fairgrounds,10349 Business 21,Hillsboro,Jefferson,MO,"General public; families; all ages; draws thousands annually including many seniors",yes,"Commercial vendor booths and sponsorship packages; food/commercial vendor contracts mailed annually; apply at jeffersoncountyfair.net/vendors.html","Contact organizer",Hillsboro Community Civic Club,office@jeffersoncountyfair.net,636-797-3900,https://www.jeffersoncountyfair.net/vendors.html,https://www.facebook.com/JeffersonCountyFairOfficial/posts/2026-jefferson-county-fair-august-17-2026-august-23-2026/1250567030205711/,2026-06-28,"Dates confirmed via official Facebook post. Multi-day fair: concerts; motor events; 4-H; food/craft vendors; agriculture; carnival. Sponsor info at /sponsors. Also 636-789-2600."
