date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,territory_status,notes
2026-07-20,2026-07-24,Moniteau County Fair - Senior Citizens Day,fair,Moniteau County Fairgrounds - Centennial Hall,610 E. South St.,California,Moniteau,MO,"General public with dedicated Senior Citizens Day at Centennial Hall; draws large 65+ crowd",implied,"Vendor Row Exhibits at fair; exhibitor inquiries to fair secretary. No refunds on contracts canceled after July 31.",Contact fair board for vendor rates,Clarice Nelson (Secretary),moniteaucountyfair@yahoo.com,573-796-8250,https://www.moniteaucofair.com/exhibitors.html,https://www.moniteaucofair.com/,2026-06-28,confirmed,"Fair July 20-24 confirmed. Senior Citizens Day historically held mid-week (Wednesday). 159th fair in 2025. Source also: californiademocrat.com"
2026-07-21,2026-07-25,Boone County Fair 2026,fair,Northeast Regional Park (Boone County Fairgrounds),5212 Oakland Gravel Rd,Columbia,Boone,MO,"General public; seniors 65+ receive discounted admission ($10 with ID)",yes,"Commercial vendor booths starting at $175/space; registration deadline July 5; $25 late fee after deadline; food vendors need COI.","Starting at $175/space; $25 late fee after July 5",,,,https://theboonecountyfair.com/vendors/,https://theboonecountyfair.com/vendors/,2026-06-28,confirmed,"Hours 5-10pm daily. Senior (65+) admission $10 with ID or $35 season pass. City of Columbia vendor license required."
2026-07-21,2026-07-25,Cooper County Fair,fair,Cooper County Fairgrounds,16899 Dunkles Drive,Boonville,Cooper,MO,"General community; county fair draws significant 60+ population",yes,"2026 Fair Vendor Form at coopercountyfair.org; completed form emailed to Fair Board Treasurer who sends contract and payment details.","Not listed; contact treasurer via website",Sandy Larm (Fairground Scheduler),,660-621-2441,https://www.coopercountyfair.org/,https://www.coopercountyfair.org/,2026-06-28,confirmed,"Dates July 21-25 confirmed. 2026 vendor form on website (returned 403 on direct fetch; contact scheduler for pricing)."
2026-07-23,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,"Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.","$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown",,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-28,confirmed,"Recurring 4th Thursday monthly. Doors 10:30am; lunch 11am-1pm. Bingo; blood pressure checks; vision screenings. Co-sponsored by MRRL Osage County branch and Central MO Community Action."
2026-07-27,2026-08-01,Jefferson City Jaycees Cole County Fair,fair,Jefferson City Jaycees Fairgrounds,1445 Fairgrounds Road,Jefferson City,Cole,MO,General community including families and seniors,implied,"Local business vendor booths available; contact fair directly for application and pricing.","Unknown; contact fair",,,573-893-3950,https://www.facebook.com/JeffersonCityJayceesFair/,https://www.visitjeffersoncity.com/event/jefferson-city-jaycees-cole-county-fair/912/,2026-06-28,confirmed,"76th Annual fair July 27-Aug 1; 5-11pm daily. Rides; food; live music. Facebook confirms local business vendor booths solicited."
2026-07-29,2026-08-01,79th Annual Gasconade County Fair,fair,Gasconade County Fairgrounds,805 McCan Dr,Owensville,Gasconade,MO,"General public / rural community including significant senior 65+ population",implied,"Lower Field area for commercial/non-ag exhibitors. Registration via FairEntry.com (May 15-July 1). Contact fair for commercial vendor space.","Unknown; contact fair",,gasconadecountyfair@gmail.com,(573) 437-2559,https://gasconadecounty.fairentry.com/,https://gasconadecountyfair.com/,2026-06-28,confirmed,"79th annual fair July 29-Aug 1. Lower Field for commercial vendors documented on fair website."
2026-08-01,,Fayette Festival of the Arts,festival,Historic Courthouse Square,,Fayette,Howard,MO,"General community; arts and artisan festival attracts strong 55+ attendance; craft demos and live music on courthouse square",implied,"Vendor booths on courthouse square; registration info listed as Available Summer 2026 on fayettefestival.org/vendors.html. Contact FAHA for details.",,Fayette Area Heritage Association,,,https://fayettefestival.org/vendors.html,https://fayettefestival.org/,2026-06-28,confirmed,"Annual event Aug 1. Performances from Howard County Memorial Bandstand; artisan demos; food and beverage vendors. Sponsored by Fayette Area Heritage Association (FAHA). Vendor registration opens summer 2026."
2026-08-01,,Callaway County Senior Expo,expo,YMCA of Callaway County,1715 Wood Street,Fulton,Callaway,MO,"Adults 55+ / seniors; 30+ organizations offering resources for older adults",yes,"Vendor/exhibitor tables available. For-profit organizations: $50; nonprofits: free. Funds benefit Callaway County United Way senior programming.","$50 for-profit; free for nonprofits",Callaway County United Way,,,,,https://www.newstribune.com/news/2023/jun/30/callaway-county-senior-expo-set-for-august/,2026-06-28,confirmed,"Annual expo historically August (2023: Aug 4 at Callaway Christian Church; 2025: Oct 8 at YMCA). 2026 date estimated — confirm with United Way. Past coverage: fultonsun.com"
2026-08-12,2026-08-15,Maries County Fair,fair,Maries County Fairgrounds,,Vienna,Maries,MO,"General public / rural community including senior 65+ population; county fair with food trucks and vendors",implied,"Vendors and food trucks present at fair. Contact fair directly at 573-619-0137 for exhibitor information and booth applications.",,Maries County Fair Association,,573-619-0137,https://mariescountyfair.weebly.com/,https://mariescountyfair.weebly.com/index.html,2026-06-28,confirmed,"Aug 12-15 2026. Wednesday: free admission with pageant; Thursday: carnival and concerts; Friday: livestock show and truck/tractor pull; Saturday: parade 11am. Source: mofairs.org/location/vienna"
2026-08-13,2026-08-23,Missouri State Fair - Senior Appreciation Day (Aug 19),fair,Missouri State Fairgrounds,2503 W 16th St,Sedalia,Pettis,MO,"General public; dedicated Senior Appreciation Day Aug 19 for seniors 60+; 330000+ attendees over 11 days",yes,"Indoor booths $750-$1,100 (10x10); Outdoor $75-$105/front ft. Senior Appreciation Day Aug 19 features vendors in Mathewson Exhibition Center.","Indoor $750-$1,100; Outdoor $75-$105/front ft",Steven Sims (Vendor/Concession Manager),vendors@mda.mo.gov,800-422-3247,https://www.mostatefair.com/participate/commercial/vendor-concessionaire/,https://www.mostatefair.com/state-fair-news/senior-appreciation-day-aug-19-governors-legislator-judges-day-aug-20/,2026-06-28,verify,"Aug 13-23; Senior Appreciation Day is Aug 19. Senior Lounge 9am-6pm daily. BINGO; line dance; vision screenings; Missouri Waltz contest. Seniors 60+ get $2 off gate with Sedalia Democrat coupon."
