date,end_date,event_name,event_type,venue,address,city,county,state,audience,tabling_confirmed,tabling_details,cost,contact_name,contact_email,contact_phone,registration_url,source_url,date_found,notes
2026-06-26,2026-06-28,Boonville Heritage Days,festival,Downtown Boonville,Main Street,Boonville,Cooper,MO,General community; arts & crafts festival with parade and quilt show — skews 55+,yes,Craft vendor booths; 2026 Vendor Packet at boonvillemochamber.com,Not publicly listed; see vendor packet,Boonville Area Chamber of Commerce,,,https://boonvillemochamber.com/heritage-days-craft-vendor-information-and-application/,https://boonvillemochamber.com/heritage-days/,2026-06-26,4th weekend of June annually; parade June 27. Not a dedicated senior event; general community. Direct fetch returned 403; pricing not retrievable.
2026-06-26,2026-06-28,Howard County Fair,fair,Howard County Fairgrounds,,Fayette,Howard,MO,General public including seniors; rural county fair with significant 65+ attendance,implied,Dedicated Vendors and Craft Booths page at hocomofair.com; $25/day booth space reported. Sponsorship page also available.,$25/day (reported),,,,https://hocomofair.com/about/vendors-and-craft-booths/,https://hocomofair.com/,2026-06-26,Full fair approx. June 22-28; at least 3 days in search window. No dedicated senior day found.
2026-07-07,2026-07-12,Morgan County Fair,fair,Morgan County Fairgrounds,1000 W Newton,Versailles,Morgan,MO,General public including seniors; rural county fair draws 65+ residents,yes,Commercial exhibitor space in Merchant Building (~215 ft building). Doors 4-10pm Tue-Fri; 1-10pm Sat; 1-6pm Sun.,Contact fair office for pricing,,,,https://themorgancountyfair.com/vendors-and-volunteers/vendor-info,https://themorgancountyfair.com/vendors-and-volunteers/vendor-info,2026-06-26,Annual fair July 7-12. Family Day July 12 with free gate admission. No dedicated senior day found. Verify contact at themorgancountyfair.com/contact-us.
2026-07-13,2026-07-18,Kingdom of Callaway County Fair,fair,Callaway County Fairgrounds,7217 State Road C,Fulton,Callaway,MO,General community; county fair with broad multi-generational attendance including seniors,implied,Vendors listed as part of fair programming; contact fair directly for booth application.,,Kingdom of Callaway Fair,,,https://www.facebook.com/kingdomofcallawayfair/,https://www.yelp.com/biz/kingdom-of-callaway-county-fair-fulton,2026-06-26,Dates July 13-18 confirmed via visitfulton.com and Macaroni KID Columbia. Livestock; tractor pulls; demolition derby; vendors.
2026-07-20,2026-07-24,Moniteau County Fair - Senior Citizens Day,fair,Moniteau County Fairgrounds - Centennial Hall,610 E. South St.,California,Moniteau,MO,General public with dedicated Senior Citizens Day at Centennial Hall; draws large 65+ crowd,implied,Vendor Row Exhibits at fair; exhibitor inquiries to fair secretary. No refunds on contracts canceled after July 31.,Contact fair board for vendor rates,Clarice Nelson (Secretary),moniteaucountyfair@yahoo.com,573-796-8250,https://www.moniteaucofair.com/exhibitors.html,https://www.moniteaucofair.com/,2026-06-26,Fair July 20-24 confirmed. Senior Citizens Day historically held mid-week (Wednesday). 159th fair in 2025. Source also: californiademocrat.com
2026-07-21,2026-07-25,Boone County Fair 2026,fair,Northeast Regional Park (Boone County Fairgrounds),5212 Oakland Gravel Rd,Columbia,Boone,MO,General public; seniors 65+ receive discounted admission ($10 with ID),yes,Commercial vendor booths starting at $175/space; registration deadline July 5; $25 late fee after deadline; food vendors need COI.,Starting at $175/space; $25 late fee after July 5,,,,https://theboonecountyfair.com/vendors/,https://theboonecountyfair.com/vendors/,2026-06-26,Hours 5-10pm daily. Senior (65+) admission $10 with ID or $35 season pass. City of Columbia vendor license required.
2026-07-21,2026-07-25,Cooper County Fair,fair,Cooper County Fairgrounds,16899 Dunkles Drive,Boonville,Cooper,MO,General community; county fair draws significant 60+ population,yes,2026 Fair Vendor Form at coopercountyfair.org; completed form emailed to Fair Board Treasurer who sends contract and payment details.,Not listed; contact treasurer via website,Sandy Larm (Fairground Scheduler),,660-621-2441,https://www.coopercountyfair.org/,https://www.coopercountyfair.org/,2026-06-26,Dates July 21-25 confirmed. 2026 vendor form on website (returned 403 on direct fetch; contact scheduler for pricing).
2026-07-23,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.,$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown,,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-26,Recurring 4th Thursday monthly. Doors 10:30am; lunch 11am-1pm. Bingo; blood pressure checks; vision screenings. Co-sponsored by MRRL Osage County branch and Central MO Community Action.
2026-07-27,2026-08-01,Jefferson City Jaycees Cole County Fair,fair,Jefferson City Jaycees Fairgrounds,1445 Fairgrounds Road,Jefferson City,Cole,MO,General community including families and seniors,implied,Local business vendor booths available; contact fair directly for application and pricing.,Unknown; contact fair,,,573-893-3950,https://www.facebook.com/JeffersonCityJayceesFair/,https://www.visitjeffersoncity.com/event/jefferson-city-jaycees-cole-county-fair/912/,2026-06-26,76th Annual fair July 27-Aug 1; 5-11pm daily. Rides; food; live music. Facebook confirms local business vendor booths solicited.
2026-07-29,2026-08-01,79th Annual Gasconade County Fair,fair,Gasconade County Fairgrounds,805 McCan Dr,Owensville,Gasconade,MO,General public / rural community including significant senior 65+ population,implied,Lower Field area for commercial/non-ag exhibitors. Registration via FairEntry.com (May 15-July 1). Contact fair for commercial vendor space.,Unknown; contact fair,,gasconadecountyfair@gmail.com,(573) 437-2559,https://gasconadecounty.fairentry.com/,https://gasconadecountyfair.com/,2026-06-26,79th annual fair July 29-Aug 1. Lower Field for commercial vendors documented on fair website.
2026-08-01,,Callaway County Senior Expo,expo,YMCA of Callaway County,1715 Wood Street,Fulton,Callaway,MO,Adults 55+ / seniors; 30+ organizations offering resources for older adults,yes,Vendor/exhibitor tables available. For-profit organizations: $50; nonprofits: free. Funds benefit Callaway County United Way senior programming.,$50 for-profit; free for nonprofits,Callaway County United Way,,,,https://www.newstribune.com/news/2023/jun/30/callaway-county-senior-expo-set-for-august/,2026-06-26,Annual expo historically August (2023: Aug 4 at Callaway Christian Church; 2025: Oct 8 at YMCA). 2026 date estimated — confirm with United Way. Past coverage: fultonsun.com
2026-08-13,2026-08-23,Missouri State Fair - Senior Appreciation Day (Aug 19),fair,Missouri State Fairgrounds,2503 W 16th St,Sedalia,Pettis,MO,General public; dedicated Senior Appreciation Day Aug 19 for seniors 60+; 330000+ attendees over 11 days,yes,"Indoor booths $750-$1,100 (10x10); Outdoor $75-$105/front ft. Senior Appreciation Day Aug 19 features vendors in Mathewson Exhibition Center.","Indoor $750-$1,100; Outdoor $75-$105/front ft",Steven Sims (Vendor/Concession Manager),vendors@mda.mo.gov,800-422-3247,https://www.mostatefair.com/participate/commercial/vendor-concessionaire/,https://www.mostatefair.com/state-fair-news/senior-appreciation-day-aug-19-governors-legislator-judges-day-aug-20/,2026-06-26,Aug 13-23; Senior Appreciation Day is Aug 19. Senior Lounge 9am-6pm daily. BINGO; line dance; vision screenings; Missouri Waltz contest. Seniors 60+ get $2 off gate with Sedalia Democrat coupon.
2026-08-27,,Senior Connections @ Barefoot Event Center,senior day,Barefoot Event Center,1214 East Lee St,Linn,Osage,MO,Seniors 60+,implied,Resource/services tables 10:30am-1pm; orgs including Osage County Health Dept and Aging Best participate. Contact organizers to request a table.,$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown,,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-barefoot-event-center-52712,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-26,Recurring 4th Thursday monthly. Same program as July 23 date.
2026-09-05,,MU Extension Cole County Fall Festival,craft fair,Jefferson City Jaycees Fairgrounds,1445 Fairgrounds Road,Jefferson City,Cole,MO,General community; craft festivals attract strong 55+ attendance,yes,~140 vendor booths for crafts and products; call (573) 634-2824 for pricing.,Unknown; call (573) 634-2824,,,573-634-2824,https://www.facebook.com/MUExtColeCoExtFallFestival/,https://www.visitjeffersoncity.com/event/mu-extension-in-cole-county-fall-festival/682/,2026-06-26,Annual one-day craft show by MU Extension Cole County Council. Gate $3 (under 12 free). 2026 date estimated first Sat September (2024: Sept 7; 2025: Sept 6). Confirm before applying.
2026-09-08,2026-09-12,Saline County Fair,fair,Saline County Fairgrounds,2702 S. Hwy 65,Marshall,Saline,MO,General public / all ages; county fair draws strong senior attendance,implied,Vendor/sponsor booth opportunities on official site; contact MU Extension Saline County for rental and vendor details.,Unknown; contact fairgrounds,,salineco@missouri.edu,660-886-6908,https://www.salinecountymofairgrounds.org/,https://www.salinecountymofairgrounds.org/2020-4-h-program-book,2026-06-26,Sept 8-12 2026 confirmed. Sponsorship listed on site. Also referenced at kmmo.com.
2026-09-11,,Senior Connections @ Osage County Library (Aging Best Mobile Meals),senior day,Osage County Library (Missouri River Regional Library),101 Highway CC,Linn,Osage,MO,Seniors 60+,implied,Community resource info tables present; orgs incl. Osage Co. Health Dept and Central MO Community Action. Contact organizers for table spot.,$5 suggested contribution 60+ / $7 under 60 (meal only); vendor cost unknown,,,(573) 897-2951,https://www.mrrl.org/event/senior-connections-meals-seniors-osage-branch-50813,https://www.newstribune.com/news/2026/jun/26/10k-grant-supports-senior-center-on-wheels/,2026-06-26,2nd Thursday monthly at library branch. Aging Best On the Move provides hot/cold meals. Bingo; blood pressure checks; vision screenings. Program launched 2026.
2026-09-19,2026-09-20,Annual Heritage Festival and Craft Show,festival,Nifong Park,2900 E. Nifong Blvd,Columbia,Boone,MO,General community including seniors; free admission; 70+ craft and artisan vendors,yes,Contemporary handmade craft vendor area with 70+ vendors; contact Columbia Parks & Recreation for 2026 vendor application.,Not listed; contact Parks & Recreation,Columbia Parks and Recreation,,573-874-7460,https://www.como.gov/parks-and-recreation/special-events/annual-heritage-festival-craft-show/,https://festivalnet.com/40477/Columbia-Missouri/Festivals/Heritage-Festival,2026-06-26,Free admission Sept 19-20 10am-5pm. Live entertainment on two stages; 19th-century artisan demos. Confirmed at como.gov and visitmo.com.
2026-09-19,,Ozark Ham & Turkey Festival,festival,Downtown California - Historic Courthouse Square,Downtown California MO,California,Moniteau,MO,General public; community festival drawing thousands including large senior population,yes,Vendor booths in three categories: Crafters; Commercial; Food. Online or printable application via California Area Chamber of Commerce.,Contact chamber for booth pricing,California Area Chamber of Commerce,chamber@calmo.com,573-796-3040,https://www.calmo.com/ham-turkey-festival,https://www.calmo.com/ham-turkey-festival,2026-06-26,Held 3rd Saturday of September (Sept 19 2026). BBQ contest; car show; crafts; 5K walk/run; parade with 100+ entries; 3 stages entertainment. 32nd annual.
2026-09-19,,Walk to End Alzheimer's - Sedalia MO 2026,health walk,State Fair Community College,3201 W 16th St,Sedalia,Pettis,MO,Alzheimer's community; caregivers; seniors; strong 65+ skew,yes,Sponsorship open for 2026; sponsors receive brand visibility and community alignment. Contact local chapter for sponsorship packet and booth details.,Contact chapter,Anthony Burt,aburt@alz.org,314-852-1170,https://act.alz.org/site/TR/Walk?px=18718&pg=personal&fr_id=18718,https://act.alz.org/site/TR/Walk?px=18718&pg=personal&fr_id=18718,2026-06-26,Sept 19 2026 confirmed via alz.org event page. Registration 9am; ceremony 10am; walk 10:20am. Greater MO Chapter: 314-432-3422.
